code_family,outfield
DEPSC,Defense Evasion > Ptrace System Calls — Adversaries may inject malicious code into processes via ptrace (process trace) system calls in order to evade process-based defenses as well as possibly elevate privileges.
PEPSC,Privilege Escalation > Ptrace System Calls — Adversaries may inject malicious code into processes via ptrace (process trace) system calls in order to evade process-based defenses as well as possibly elevate privileges.
CACRAS,"Command and Control > Remote Access Software — Adversaries may use legitimate remote access software, such as `VNC`, `TeamViewer`, `AirDroid`, `AirMirror`, etc."
CRDMS,Collection > Remote Device Management Services — An adversary may use access to cloud services (e.
DRDMS,Discovery > Remote Device Management Services — An adversary may use access to cloud services (e.
IARTRM,Initial Access > Replication Through Removable Media — Adversaries may move onto devices by exploiting or copying malware to devices connected via USB.
LMRTRM,Lateral Movement > Replication Through Removable Media — Adversaries may move onto devices by exploiting or copying malware to devices connected via USB.
IASCS,Initial Access > SIM Card Swap — Adversaries may gain access to mobile devices through transfers or swaps from victims’ phone numbers to adversary-controlled SIM cards and mobile devices.
ISC,"Impact > SMS Control — Adversaries may delete, alter, or send SMS messages without user authorization."
CSM,Collection > SMS Messages — Adversaries may utilize standard operating system APIs to gather SMS messages.
CACSP,Command and Control > SSL Pinning — Adversaries may use [SSL Pinning](https:
CSC,"Collection > Screen Capture — Adversaries may use screen capture to collect additional information about a target device, such as applications running in the foreground, user data, credentials, or other sensitive information."
DSSD,Discovery > Security Software Discovery — Adversaries may attempt to get a listing of security applications and configurations that are installed on a device.
DSD,Discovery > Software Discovery — Adversaries may attempt to get a listing of applications that are installed on a device.
DESP,Defense Evasion > Software Packing — Adversaries may perform software packing to conceal their code.
CASAAT,Credential Access > Steal Application Access Token — Adversaries can steal user application access tokens as a means of acquiring credentials to access remote systems and resources.
DES,Defense Evasion > Steganography — Adversaries may use steganography techniques in order to prevent the detection of hidden information.
CSAD,Collection > Stored Application Data — Adversaries may try to access and collect application data resident on the device.
DESTC,Defense Evasion > Subvert Trust Controls — Adversaries may undermine security controls that will either warn users of untrusted activity or prevent execution of untrusted applications.
DESAI,Defense Evasion > Suppress Application Icon — A malicious application could suppress its icon from being displayed to the user in the application launcher.
CACSC,"Command and Control > Symmetric Cryptography — Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic, rather than relying on any inherent protections provided by a communication protocol."
DESC,Defense Evasion > System Checks — Adversaries may employ various system checks to detect and avoid virtualization and analysis environments.
DSID,"Discovery > System Information Discovery — Adversaries may attempt to get detailed information about a device’s operating system and hardware, including versions, patches, and architecture."
DSNCD,"Discovery > System Network Configuration Discovery — Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of devices they access or through information discovery of remote systems."
DSNCD,Discovery > System Network Connections Discovery — Adversaries may attempt to get a listing of network connections to or from the compromised device they are currently accessing or from remote systems by querying for information over the network.
